Hero1, Hero2, Win, Loss, Draw, Games, Win%
,,0,0,0,0,-
,Dorinthea Ironsong,0,0,0,0,-
,"Dromai, Ash Artist",0,0,0,0,-
,"Riptide, Lurker of the Deep",0,0,0,0,-
,"Kano, Dracai of Aether",0,0,0,0,-
,"Dash, Inventor Extraordinaire",0,0,0,0,-
,"Katsu, the Wanderer",0,0,0,0,-
,"Oldhim, Grandfather of Eternity",0,0,0,0,-
,"Levia, Shadowborn Abomination",0,0,0,0,-
,"Uzuri, Switchblade",0,0,0,0,-
,"Viserai, Rune Blood",0,0,0,0,-
,"Iyslander, Stormbind",0,0,0,0,-
,"Ser Boltyn, Breaker of Dawn",0,0,0,0,-
,"Azalea, Ace in the Hole",0,0,0,0,-
,"Briar, Warden of Thorns",0,1,0,1,0.00%
,"Bravo, Showstopper",0,0,0,0,-
,"Arakni, Huntsman",0,0,0,0,-
,"Fai, Rising Rebellion",0,0,0,0,-
,"Lexi, Livewire",0,0,0,0,-
,"Rhinar, Reckless Rampage",0,0,0,0,-
,CLEANTOTAL,0,-,-,1,0.00%
,TOTAL,0,-,-,1,0.00%
Dorinthea Ironsong,,0,0,0,0,-
Dorinthea Ironsong,Dorinthea Ironsong,1,1,0,2,50.00%
Dorinthea Ironsong,"Dromai, Ash Artist",1,5,0,6,16.67%
Dorinthea Ironsong,"Riptide, Lurker of the Deep",2,0,0,2,100.00%
Dorinthea Ironsong,"Kano, Dracai of Aether",1,3,0,4,25.00%
Dorinthea Ironsong,"Dash, Inventor Extraordinaire",4,3,1,8,50.00%
Dorinthea Ironsong,"Katsu, the Wanderer",4,3,0,7,57.14%
Dorinthea Ironsong,"Oldhim, Grandfather of Eternity",1,8,1,10,10.00%
Dorinthea Ironsong,"Levia, Shadowborn Abomination",2,0,0,2,100.00%
Dorinthea Ironsong,"Uzuri, Switchblade",3,3,1,7,42.86%
Dorinthea Ironsong,"Viserai, Rune Blood",5,2,0,7,71.43%
Dorinthea Ironsong,"Iyslander, Stormbind",0,1,0,1,0.00%
Dorinthea Ironsong,"Ser Boltyn, Breaker of Dawn",0,0,0,0,-
Dorinthea Ironsong,"Azalea, Ace in the Hole",2,7,0,9,22.22%
Dorinthea Ironsong,"Briar, Warden of Thorns",1,2,0,3,33.33%
Dorinthea Ironsong,"Bravo, Showstopper",3,2,0,5,60.00%
Dorinthea Ironsong,"Arakni, Huntsman",0,0,0,0,-
Dorinthea Ironsong,"Fai, Rising Rebellion",2,0,0,2,100.00%
Dorinthea Ironsong,"Lexi, Livewire",6,18,0,24,25.00%
Dorinthea Ironsong,"Rhinar, Reckless Rampage",1,0,0,1,100.00%
Dorinthea Ironsong,CLEANTOTAL,38,-,-,98,38.78%
Dorinthea Ironsong,TOTAL,39,-,-,100,39.00%
"Dromai, Ash Artist",,0,0,0,0,-
"Dromai, Ash Artist",Dorinthea Ironsong,5,1,0,6,83.33%
"Dromai, Ash Artist","Dromai, Ash Artist",44,44,10,98,44.90%
"Dromai, Ash Artist","Riptide, Lurker of the Deep",2,0,0,2,100.00%
"Dromai, Ash Artist","Kano, Dracai of Aether",12,4,0,16,75.00%
"Dromai, Ash Artist","Dash, Inventor Extraordinaire",15,9,2,26,57.69%
"Dromai, Ash Artist","Katsu, the Wanderer",13,17,0,30,43.33%
"Dromai, Ash Artist","Oldhim, Grandfather of Eternity",15,39,5,59,25.42%
"Dromai, Ash Artist","Levia, Shadowborn Abomination",0,2,0,2,0.00%
"Dromai, Ash Artist","Uzuri, Switchblade",24,5,3,32,75.00%
"Dromai, Ash Artist","Viserai, Rune Blood",12,27,0,39,30.77%
"Dromai, Ash Artist","Iyslander, Stormbind",5,7,2,14,35.71%
"Dromai, Ash Artist","Ser Boltyn, Breaker of Dawn",4,2,0,6,66.67%
"Dromai, Ash Artist","Azalea, Ace in the Hole",31,18,0,49,63.27%
"Dromai, Ash Artist","Briar, Warden of Thorns",18,13,0,31,58.06%
"Dromai, Ash Artist","Bravo, Showstopper",8,17,2,27,29.63%
"Dromai, Ash Artist","Arakni, Huntsman",2,1,0,3,66.67%
"Dromai, Ash Artist","Fai, Rising Rebellion",13,10,0,23,56.52%
"Dromai, Ash Artist","Lexi, Livewire",65,68,0,133,48.87%
"Dromai, Ash Artist","Rhinar, Reckless Rampage",1,10,0,11,9.09%
"Dromai, Ash Artist",CLEANTOTAL,245,-,-,509,48.13%
"Dromai, Ash Artist",TOTAL,289,-,-,607,47.61%
"Riptide, Lurker of the Deep",,0,0,0,0,-
"Riptide, Lurker of the Deep",Dorinthea Ironsong,0,2,0,2,0.00%
"Riptide, Lurker of the Deep","Dromai, Ash Artist",0,2,0,2,0.00%
"Riptide, Lurker of the Deep","Riptide, Lurker of the Deep",0,0,0,0,-
"Riptide, Lurker of the Deep","Kano, Dracai of Aether",0,0,0,0,-
"Riptide, Lurker of the Deep","Dash, Inventor Extraordinaire",0,1,0,1,0.00%
"Riptide, Lurker of the Deep","Katsu, the Wanderer",1,1,0,2,50.00%
"Riptide, Lurker of the Deep","Oldhim, Grandfather of Eternity",0,2,0,2,0.00%
"Riptide, Lurker of the Deep","Levia, Shadowborn Abomination",0,0,0,0,-
"Riptide, Lurker of the Deep","Uzuri, Switchblade",0,0,1,1,0.00%
"Riptide, Lurker of the Deep","Viserai, Rune Blood",0,0,0,0,-
"Riptide, Lurker of the Deep","Iyslander, Stormbind",0,0,0,0,-
"Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn",0,0,0,0,-
"Riptide, Lurker of the Deep","Azalea, Ace in the Hole",0,1,0,1,0.00%
"Riptide, Lurker of the Deep","Briar, Warden of Thorns",0,2,0,2,0.00%
"Riptide, Lurker of the Deep","Bravo, Showstopper",1,1,0,2,50.00%
"Riptide, Lurker of the Deep","Arakni, Huntsman",0,0,0,0,-
"Riptide, Lurker of the Deep","Fai, Rising Rebellion",1,0,0,1,100.00%
"Riptide, Lurker of the Deep","Lexi, Livewire",3,7,0,10,30.00%
"Riptide, Lurker of the Deep","Rhinar, Reckless Rampage",0,1,0,1,0.00%
"Riptide, Lurker of the Deep",CLEANTOTAL,6,-,-,27,22.22%
"Riptide, Lurker of the Deep",TOTAL,6,-,-,27,22.22%
"Kano, Dracai of Aether",,0,0,0,0,-
"Kano, Dracai of Aether",Dorinthea Ironsong,3,1,0,4,75.00%
"Kano, Dracai of Aether","Dromai, Ash Artist",4,12,0,16,25.00%
"Kano, Dracai of Aether","Riptide, Lurker of the Deep",0,0,0,0,-
"Kano, Dracai of Aether","Kano, Dracai of Aether",0,0,0,0,-
"Kano, Dracai of Aether","Dash, Inventor Extraordinaire",2,3,0,5,40.00%
"Kano, Dracai of Aether","Katsu, the Wanderer",3,7,0,10,30.00%
"Kano, Dracai of Aether","Oldhim, Grandfather of Eternity",6,5,0,11,54.55%
